Episode,Contestants,ChW,ChA,SO,VFB,VAP,TotV,TCA,TCV,VFT,InRCA,InRCW,InICA,InICW,TRCA,TRCW,TICA,TICW,Reward win?,Reward #people,Reward win%,Immunity win,Immunity #people,Immunity win%,Immunity total win%,Sex,Age,Occupation,Hometown,Home State,Tribe
8,Sean,0,2,,1,,9,1,Greg,1,1,,1,,,,,,0,1,0,0,1,0,0,M,30,Neurosurgeon,Carle Place,NY,Tagi
8,Colleen,0,2,,0,,9,1,Jenna,1,1,,1,,,,,,0,1,0,0,1,0,0,M,23,Student,Miami Beach,FL,Pagong
8,Gervase,1,2,,0,,9,1,Jenna,1,1,,1,1,,,,,0,1,0,1,1,1,1,M,30,YMCA Basketball Coach,Willingboro,NJ,Pagong
8,Jenna,0,2,,1,3,9,1,Greg,,1,,1,,,,,,0,1,0,0,1,0,0,F,22,Student,Franklin,NJ,Pagong
8,Greg,1,2,,0,6,9,1,Jenna,,1,1,1,,,,,,1,1,1,0,1,0,1,M,24,Ivy League Graduate,Gold Hill,CO,Pagong
9,Richard,0,2,,1,3,8,1,Jenna,,1,,1,,,,,,,1,0,,1,0,0,M,38,Corporate Trainer,Newport,RI,Tagi
9,Kelly W,0,2,,0,,8,1,Sean,1,1,,1,,,,,,,1,0,,1,0,0,F,22,River Rafting Guide,Kernville,CA,Tagi
9,Rudy,1,2,,1,,8,1,Jenna,1,1,,1,1,,,,,,1,0,1,1,1,1,M,72,Retired Navy SEAL,Virginia Beach,VA,Tagi
9,Sue,0,2,,1,,8,1,Jenna,1,1,,1,,,,,,,1,0,,1,0,0,F,38,Truck Driver,Palmyra,WI,Tagi
9,Sean,0,2,,1,1,8,1,Jenna,,1,,1,,,,,,,1,0,,1,0,0,M,30,Neurosurgeon,Carle Place,NY,Tagi
9,Colleen,1,2,,0,,8,1,Richard,1,1,1,1,,,,,,1,1,1,,1,0,1,M,23,Student,Miami Beach,FL,Pagong
9,Gervase,0,2,,0,,8,1,Richard,1,1,,1,,,,,,,1,0,,1,0,0,M,30,YMCA Basketball Coach,Willingboro,NJ,Pagong
9,Jenna,0,2,,0,4,8,1,Richard,,1,,1,,,,,,,1,0,,1,0,0,F,22,Student,Franklin,NJ,Pagong
10,Richard,1,2,,1,,7,1,Gervase,1,1,,1,1,,,,,0,1,0,1,1,1,1,M,38,Corporate Trainer,Newport,RI,Tagi
10,Kelly W,0,2,,1,,7,1,Gervase,1,1,,1,,,,,,0,1,0,,1,0,0,F,22,River Rafting Guide,Kernville,CA,Tagi
10,Rudy,0,2,,1,,7,1,Gervase,1,1,,1,,,,,,0,1,0,,1,0,0,M,72,Retired Navy SEAL,Virginia Beach,VA,Tagi
10,Sue,0,2,,1,,7,1,Gervase,1,1,,1,,,,,,0,1,0,,1,0,0,F,38,Truck Driver,Palmyra,WI,Tagi
10,Sean,0,2,,1,2,7,1,Gervase,,1,,1,,,,,,0,1,0,,1,0,0,M,30,Neurosurgeon,Carle Place,NY,Tagi
10,Colleen,0,2,,0,,7,1,Sean,1,1,,1,,,,,,0,1,0,,1,0,0,M,23,Student,Miami Beach,FL,Pagong
10,Gervase,1,2,,0,5,7,1,Sean,,1,1,1,,,,,,1,1,1,,1,0,1,M,30,YMCA Basketball Coach,Willingboro,NJ,Pagong
11,Richard,0,3,,1,,6,1,Colleen,1,2,,1,,,,,,0,1,0,0,1,0,0,M,38,Corporate Trainer,Newport,RI,Tagi
11,Kelly W,1,3,,0,,6,1,Sean,1,2,,1,1,,,,,0,1,0,1,1,1,1,F,22,River Rafting Guide,Kernville,CA,Tagi
11,Rudy,0,3,,1,,6,1,Colleen,1,2,,1,,,,,,0,1,0,0,1,0,0,M,72,Retired Navy SEAL,Virginia Beach,VA,Tagi
11,Sue,0,3,,1,,6,1,Colleen,1,2,,1,,,,,,0,1,0,0,1,0,0,F,38,Truck Driver,Palmyra,WI,Tagi
11,Sean,1,3,,1,2,6,1,Colleen,,2,1,1,,,,,,1,1,1,0,1,0,1,M,30,Neurosurgeon,Carle Place,NY,Tagi
11,Colleen,0,3,,0,4,6,1,Sean,,2,1,1,,,,,,1,1,1,0,1,0,0,M,23,Student,Miami Beach,FL,Pagong
12,Richard,0,2,,1,,5,1,Sean,1,1,,1,,,,,,,1,0,,1,0,0,M,38,Corporate Trainer,Newport,RI,Tagi
12,Kelly W,2,2,,1,,5,1,Sean,1,1,1,1,1,,,,,1,1,1,1,1,1,2,F,22,River Rafting Guide,Kernville,CA,Tagi
12,Rudy,0,2,,1,,5,1,Sean,1,1,,1,,,,,,,1,0,,1,0,0,M,72,Retired Navy SEAL,Virginia Beach,VA,Tagi
12,Sue,0,2,,1,1,5,1,Sean,,1,,1,,,,,,,1,0,,1,0,0,F,38,Truck Driver,Palmyra,WI,Tagi
12,Sean,0,2,,0,4,5,1,Sue,,1,,1,,,,,,,1,0,,1,0,0,M,30,Neurosurgeon,Carle Place,NY,Tagi
13,Richard,0,1,,1,2,4,1,Sue,,,,1,,,,,,,,,,1,0,0,M,38,Corporate Trainer,Newport,RI,Tagi
13,Kelly W,1,1,,0,,4,1,Sue,1,,,1,1,,,,,,,,1,1,1,1,F,22,River Rafting Guide,Kernville,CA,Tagi
13,Rudy,0,1,,1,,4,1,Sue,1,,,1,,,,,,,,,,1,0,0,M,72,Retired Navy SEAL,Virginia Beach,VA,Tagi
13,Sue,0,1,,0,2,4,1,Richard,,,,1,,,,,,,,,,1,0,0,F,38,Truck Driver,Palmyra,WI,Tagi
14,Richard,0,1,,1,,3,1,,,,,1,,,,,,,,,,1,0,0,M,38,Corporate Trainer,Newport,RI,Tagi
14,Kelly W,1,1,,1,,3,1,Rudy,1,,,1,1,,,,,,,,1,1,1,1,F,22,River Rafting Guide,Kernville,CA,Tagi
14,Rudy,0,1,,0,1,3,1,,,,,1,,,,,,,,,,1,0,0,M,72,Retired Navy SEAL,Virginia Beach,VA,Tagi
