Season,Episode,Contestants,ChW,ChA,SO,VFB,VAP,TotV,TCA,TCV,VFT,InRCA,InRCW,InICA,InICW,TRCA,TRCW,TICA,TICW,Reward win?,Reward #people,Reward win%,Immunity win,Immunity #people,Immunity win%,Immunity total win%,Sex,Age,Occupation,Hometown,Home State,Original Tribe,Merged,Tribe
19,1,Natalie,,0.1,,1,,10,1,Marisa,1,,,,,,,1,,,,,0,10,0,0,F,26,Pharmaceutical Saleswoman,Van Buren,AR,Foa Foa,FALSE,Foa Foa
19,1,Russell,0.125,0.225,,1,,10,1,Marisa,1,,,,,,,1,,,,,0,10,0,0.125,M,36,Oil Company Owner,Dayton,TX,Foa Foa,FALSE,Foa Foa
19,1,Mick,0,0.1,,0,,10,1,Ashley,1,,,,,,,1,,,,,0,10,0,0,M,33,Doctor,Los Angeles,CA,Foa Foa,FALSE,Foa Foa
19,1,Brett,0.1,0.1,,,,,,,,,,,,,,1,1,,,,1,10,0.1,0.1,M,23,T-shirt Designer,Los Angeles,CA,Galu,FALSE,Galu
19,1,Jaison,0.125,0.225,,1,,10,1,Marisa,1,,,,,,,1,,,,,0,10,0,0.125,M,28,Law Student,Chicago,IL,Foa Foa,FALSE,Foa Foa
19,1,Shambo,0.1,0.225,,,,,,,,,,,,,,1,1,,,,1,10,0.1,0.1,F,45,Saleswoman,Renton,WA,Galu,FALSE,Galu
19,1,Monica,0.1,0.1,,,,,,,,,,,,,,1,1,,,,1,10,0.1,0.1,F,25,Law Student,San Diego,CA,Galu,FALSE,Galu
19,1,Dave,0.1,0.1,,,,,,,,,,,,,,1,1,,,,1,10,0.1,0.1,M,38,Fitness Instructor,Los Angeles,CA,Galu,FALSE,Galu
19,1,John,0.1,0.225,,,,,,,,,,,,,,1,1,,,,1,10,0.1,0.1,M,25,Rocket Scientist,Santa Monica,CA,Galu,FALSE,Galu
19,1,Laura,0.1,0.1,,,,,,,,,,,,,,1,1,,,,1,10,0.1,0.1,F,39,Office Manager,Salem,OR,Galu,FALSE,Galu
19,1,Kelly,0.1,0.1,,,,,,,,,,,,,,1,1,,,,1,10,0.1,0.1,F,25,Hairstylist,San Diego,CA,Galu,FALSE,Galu
